What are the factors that influence your learning pace and how much time you spend?,
14428,"Practicar día a día, siguiendo un aprendizaje sistemático de básico a peofesional"
14431,J'en ai pas 
14434,해야하는 다른 일이 있을 때
14441,"Família,  filho"
14447,interes del curso
14450,Life and work is the biggest factor as I have very little free time
14451,Mis horarios de trabajo y también horarios libres en casa ya que soy padre de familia
14452,Distractions and noise are the most common factors that negatively affect my learning time.
14453,my mood
14457,Los tutoriales bien explicados 
14460,"Work schedule, and university work load."
14461,"My schedule is hectic as a student. I usually study from 8 AM to 12 PM whenever possible. In between classes, in the library, etc."
14462,"What my work assignment is, how much free time I have, how social I'm feeling"
14463,체력
14465,게으름
14466,The lights are the most important factor. Because I have to study for a long period of time.
14468,밸런스를 천천히 잘 맞추며 시간을 늘리면 학습 속도도 점점 빨라진다. 처음부터 과한 양이 주어지면 쉽게 포기하는 경향이 있다.
14481,El tiempo libre que tengo disponible para aprender y lo interesante del curso 
14486,"Como todavía estudio un pregrado, estudio programación en mis tiempos libres de la tarde, a veces postergo mi estudio de python, R o wolfram para priorizar tareas de la universidad. Otro factor sería la conexión a internet, en algunos lugares no tengo esa conexión y me es complicado seguir aprendiendo estos lenguajes."
14488,Trabajo 
14490,I want learning new technology 
14491,I have to work to support my studies so it doesn't give me as much time as I would like 
14496,Projects I'm working on. How busy i am decides my study time.
14501,work responsibilities
14502,Distracciones y falta de tiempo
14508,"Se as coisas são muito complexas demoro mais e desisto mais facilmente. Por exemplo, tem sido difícil estudar Cobol. Fácil estudar Kotlin, mais moderna e simplificada, além de mais útil."
14514,"집중력, 체력/건강, 자료의 질
부수적으로 통근 시간, 인간관계"
14518,"Los proyectos o tareas asignadas, dependo de la carga laboral que tengo, ya que me enfoco primordialmente en esta y despues me enfoco en mi aprendizaje."
14522,"The content of study is a major factor influencing my learning pace and how much time I am willing to spend. For example, when starting to learn a new programming language like Kotlin after Java, I decided to spend little time on Kotlin since they are quite similar in concept and mostly vary in syntax. But for something like assembly (MIPS specifically) which I have been also recently learning, I try dedicating much more time due to the unfamiliar, new concepts."
14524,"Mi entorno, mis trabajo, el tiempo que le dispongo varía de 1 a 2 horas"
14525,Minha dedicação e minha vontade de ser uma ótima profissional no futuro.
14526,Provas.
14530,"No constancia
"
14532,"Prioridades laborales y/o personales, también una cuestión de distensión (eg, a veces prefiero salir de casa o jugar un juego antes qje que seguir estudiando algo relacionado a informática luego de haber trabajado 9 o 10 hs en informática)"
14535,Deadline such as upcoming exams and due dates 
14536,학교 과제 / 수업 / 아르바이트
14539,Consequences of failure 
14543,"El trabajo, si no tuviera que trabajar me dedicaría 100% a estudiar "
14548,"Interest in topics, relevance, reason for studying any given topic eg. For uni or personal peoject etc"
14549,"Minha saúde mental, meu ciclo biológico, alimentação, motivação. "
14550,My part time job and family time. 
14552,The influence of surrounding entertainment cultures often leads to laziness.
14553,스케줄 및 배우기만 하는 과정
14558,"장소, 컨디션, 디지털 디바이스"
14561,개인차
14564,tiempo y familia
14567,"Interest, want to get better at work"
14570,가지고 있는 기반지식이나 이해속도 그리고 연계되는 경험이 굉장히 중요한 것 같아요
14571,"Dedicación, constancia "
14572,Organizar el tiempo 
14575,컨디션
14576,Beeinträchtigung durch ADHS
14577,Time free
14583,"시작하려는 의지, 학습할때 흥미"
14584,"Mis tareas de la universidad, estado de ánimo."
14586,"1.- Estado de ánimo
2.- Carga de trabajo
3.- Actividades personales como (ejercitarme, sacar a pasear a mis mascotas )"
14589,Предстоящие экзамены 
14591,Depend on the difficulties 
14592,"My energy, my drive, what the topic is, "
14594,"Trabajo, redes sociales"
14595,학습 레벨의 러닝커브 난이도
14596,找工作极大地影响我的学习速度与进度，使我无法全身心投入学习
14603,"Hunger, sleep schedule, distraction, inability to find the answer"
14607,It all depends on the topic
14611,"1) difficulty of a topic. 
2) my interest in that topic
3) challenges while explaining it to someone else or executing what I learned"
14612,"Class schedule, involvement and activities, and mental and physical wellbeing"
14616,"The factors that influence my learning pace is the interest I have in computer science and coding. The interest helps me to keep going and study more and more to fully complete the course. I spend most of the time learning and studying as I am a student and I need to attend university classes and when the class is finished and I come home I again revise everything and also try to learn some new things on my own. So, I would say I spend minimum 7 8 hours per day studying and learning new things. "
14617,Falta de tiempo 
14620,Having breaks like 10-20 mins in 2 study time.
14622,i spend 5 hours
14623,El ambiente 
14624,Sharp 1 hour
14627,I do spend bunch of hours daily and I am influenced by my goal in life
14628,New technology and 17-32hours
14629,"Trabajo, entonces cuando no tengo actividades le dedico el tiempo a aprender "
14630,El tiempo en el trabajo y el tráfico 
14632,Que surja algún curso interesante 
14633,Hija
14636,외부 요인들이 영향을 미칩니다.
14637,It depends on how well I think I understand the new topic
14640,함께 진행하고 있는 다른 코딩 과제
14641,No tener responsabilidades urgentes para ese día.
14642,Time required in other involvements
14646,정비례한다고 생각한다. 많이 찾아보고 들어보고 실습해봐야 알 수 있는것들이 많다
14647,Дом работа
14649,집중력
14650,다른 중요한 일정
14653,"Personal motivation, goals, interests, self esteem"
14655,El trabajo 
14657,Not really
14659,La capacidad de concentración y la disciplina para llevar a cabo los proyectos propuestos
14660,"My own space, and computer, take advantage to not move to another place due to the traffic"
14661,Becouse im still in uni at 2nd semester so i need time for my uni learning but also i need to study outside university so i can compete with others and had one step ahead from my friend
14662,Work and feeling of improvement 
14663,"Tired during the college hours, extensive burnout"
14664,Is horarios laborales y el cansancio
14665,"Depende muito do meu desempenho na matéria. Mas, no geral, eu gosto de dar o meu máximo de tempo saudável para revezar sistematicamente nos conteúdos de forma que eu consiga elaborar exercícios, flashcards e coisas que me apoiem e não acabe me perdendo. "
14670,内在驱动力
14671,书籍的易读性
14672,Las actividades del día a dia
14674,Trabajo 
14675,분위기
14677,"Trabajo, familia"
14679,"Heavily depend on how hectic my work life is, finding a balance between work, self learning and life is very important to me. Also depends on how much I like the thing I am learning and it's impact on my carrer and/or any personal or work projects I'm currently working on. These are great motivators for me personally."
14680,Having good laptop and good network connection or wifi
14683,"Home cleaning, renovation work and education "
14684,More time
14685,"learn as I go,  study when needed"
14686,Seguir un plan de estudios en un curso que me exija cumplir objetivos y que me provea recursos para lograrlo
14688,"Necessity, mostly"
14689,"Las ganas de ser un buen desarrollador, ya que deseo tener a futuro mi emprendimiento y trabajar como freelancer"
14690,"Current work, personal errands, playing games etc take up most of my week. Every now and then I take time to study"
14691,Trabajo o alguna situacion personal pueden interrumpir mi tiempo de estudio
14693,situation
14694,İş yoğunluğu
14698,Tiempos asignados de acuerdo a horarios
14699,"1) место где я занимаюсь. Так как не могу заниматься в шумном месте. 2) сложность топика. Зависимости от сложности я выделяю разные количество времени. 3) сон. Насколько я выспалась. Иногда когда я сонная, я не могу и не хочу заставлять себя работать. Поэтому лучше будет когда я выспавшая. Кроме того, это влияет на мой фокус"
14700,School 
14701,"It depends on how busy I am with my other commitments such as to academics, organizations, since I look for time to fit in coding practice."
14702,Horarios  de trabajo
14704,Procrastination.
14706,deadline.
14709,Structure
14710,"size of the topic, relevance to my current work"
14711,Workload in my job and I dedicate 1-2 hours per day
14713,"if i dont work i always learn, if i work i learn at any chance and free time olso if employer give an opportunity"
14717,"The main factors are how well I am handling the school workload. When I don't understand a topic or a homework, it will usually throw off my schedule and will not allow me to dedicate time to learn things I am genuinely interested in and will make my learning pace much slower "
14718,딱히 없음
14727,"内容难度，目前是否繁忙
画了一个月，一周的都有"
14729,体力
14730,"개인의 의지, 스케쥴"
14731,체력
14732,"Interest in the topic, how much already know, external factors limit time"
14733,"Workload, time constraints from personal life"
14734,Family schedule 
14740,İş ve zaman sorunları
14744,If I feel I learning new things that I want  and not waste my time.
14745,Un buen profesor 
14753,Depending on work loads. If I can I would be studying and practicing the whole day 
14755,To know how to Program very well I spend 5 to 6 hours 
14760,"집중력, 의지, 동기, 환경"
14767,El ritmo de trabajo y el cansancio 
14769,I work and have family 
14771,How interesting the course is
14772,Workload
14773,Depends on the free time after work
14774,Trabajo y familia
14776,L'énergie et connection internet influence mon rythme d'apprentissage 
14778,Mein job
14784,My motivation and the benefits
14786,"Free time, environmental factors such as noise "
14787,"factors are the time I spend learning, sometimes at night I somehow tired, and the time I could use to practice or master something I recently learned, I start a new course instead."
14789,학습의 난이도와 흥미
14792,Time available 
14793,How much spare time I have
14795,My emotional state or my current projects. How easy or hand the content is and how much I need or want to learn it.
14797,Time available
14799,priorities in life
14801,Available time and motivation 
14804,Trabajo
14805,Stress in work / university / home tasks
14807,La urgencia de aprender la tecnologia para el empleo
14810,"Self-discipline, motivation, and sleep."
14819,"If I am unable to completely grasp the concept at the lecture, then I'll spend more time studying the subject. Otherwise, I'll only do light review here and there for assignments"
14820,학습 주제의 난이도
14821,"How engaging the tutor makes the lesson, or the book appears to be"
14828,How busy I was at work and how much energy I have left to study and focus
14831,"Другие обязанности, работа и самочувствие"
14833,"first, My personal relationship(meet my girlfriend, or with family)
second, physical education time."
14835,Meine Freizeit
14836,The difficulty of the subject or the subject in question involved in my assessments
14842,"Class load, work responsibilities, social plans"
14843,"My interest in the matter, what is going in my life"
14844,Disponibilidad con mis tareas en casa 
14850,"Odaklanırsam kısa sürede kavrarım,odaklanamazsam kafam başka yerde olursa uzun süre kavrayamam belki hiç öğrenemem ama sınavları bi şekil geçerim.Kesinlikle odak,mutluluk ve irade diyorum "
14851,"The more free time I have the more time I will spend studying. Also, if I have a deadline to meet I will spend even more time studying close to it. The pace in which I learn is proportional to the amount of time I spend."
14852,"time spend > remaining time of the day, after hosecare, work and baby care"
14854,Mainly how much time is available for it if it is outside of a specific work related area/how much value add it has to me personally 
14855,Other commitments such as work and chores
14866,"Job interviews, deadlines"
14868,My other responsibilities like clubs or classes
14873,Child care
14877,"Living condition in my country.  
"
14879,"Motivation, studying environment, and learning subject"
14883,"Mein Tagesverfassung, das Interesse am Thema, mein Verständnis für das Thema"
14886,编程中的复杂概念与算法
14887,학습하고자 하는 흥미를 키우는게 중요하다고 생각합니다.
14890,"If I have a hard time understanding, I might take longer to study. If I understand it fairly easily, I might try easier studying. Like talking a shorter course or just over course. "
14891,Laziness
14892,Зависит от графика работы
14895,"Deadlines, other school assignments "
14900,컨디션이 영향을 많이 주는거 같습니다. 컨디션이 나쁘면 집중도 잘 안되서 공부시간을 낭비하게 됩니다.
14905,dependo de que tanto trabajo tengo
14907,"La información debe ser clara para evitar confusiones, eso me facilita bastante el aprendizaje "
14908,"1. 工作耗费精力
2. 对具体的学习方向感到迷茫"
14910,느낌받는 대로
14914,"Free time, stress level, howintrested I'm in topic"
14915,How busy I am with other things 
14916,"Personal life, hobbies and tests"
14917,School schedule 
14918,O an ki ruh halim ve vucut yorgunlugum
14921,Availability of well lit environment with less disruption
14924,Demás ocupaciones
14925,It's seems complicated but it's just complex. I lose focus when I'm missing basic knowledge that a student in the field would have had acquired during it's first years
14926,The amount of free time I have 
14927,外界因素
14928,"Ansprechende Gestaltung der Lernmaterialien, Interesse am Thema"
14929,Interest
14941,N/A
14942,Primarily it is my studies schedule but also the importance of learning for my side projects
14945,"Die Symptome der Erkrankung, Job, Verpflichtungen, Termine "
14946,"Motivation and goals, ( how much time you spend?) it depends on the topics and complexity"
14947,"Time, complexity of task, conducive ness of environment, resources like data access and good working laptop. 

I spend about 4-5 hours daily. 
"
14948,The total time I have available and the money I have
14950,Deadline of work task
14951,"Arbeitszeiten, private Verpflichtungen, Motivation "
14952,The complexity of the material and the time needed to grasp it significantly influence my learning pace.
14953,"The difficulty, the interest I have in the topic, and the expected outcome"
14955,"Personal time constraints- family, job, what I need at the time, mindset"
14956,Burnout is a problem I constantly deal with. If not for that I would probably be learning a lot faster. I also keep getting distracted by new things.
14963,concentration and quiet space
14964,不知道
14969,Motivation 
14975,A falta de tempo 
14977,"If I have good mood, and not feeling bad then I always want to study something "
14979,"Stress, other distractions "
14984,Workload and family duties
14986,所学知识的难度
14988,A need to learn new things for work
14992,"Наличие свободного времени, так как есть работа."
14993,My job and what comes up
14997,Çalışmak çalışmak çalışmak
15014,Andere Hobbys und Tätigkeiten im privaten Umfeld
15018,The accessability of a suitable place to work at. I cannot work from home since COVID... It messed up my work drive from home
15020,Vida pessoal 
15031,공동 프로젝트 후 남는 시간
15032,Personal factors and workload 
15033,"If it's motivating enough, so real life projects and hands on. Free time, sleep."
15035,Интенсивность в школе 
15037,Ad hoc needs of programming knowledge
15039,Dikkat dağınıklığı iş yoğunluğu
15042,The main factor Is just motivation
15043,Çevresel faktörler 
15055,University
15056,It depends on how much time I can dedicate to it 
15058,"Sleep, friend, topic"
15060,Wie viel Energie/Gehirnkapazität ist nach dem Arbeitstag noch vorhanden.
15062,One major thing that influence my study hours is my working schedule for the week.
15064,"Relevancy, my stamina "
15065,"- Motivation
- Stress auf Arbeit"
15067,"Mostly interference from network issues and Internet cost. And 2-4 
hours a day"
15072,其他学习、工作、生活任务，一般会影响1-2小时每天
15074,Time available
15079,"For uni: difficulty and deadline. For personal, personal interest and ease of use. If not very interested and it's hard i.e. c++, I am very very very slow."
15081,Motivasyonum ve azmim
15088,"Sleep, motivation, habits, current responsibilities."
15089,Based on my personal preference. Depends on my mood
15098,Zur Verfügung stehende Freizeit
15102,мотивация
15106,"Depends a lot on how interesting the subject is. Am a lot more interested when there's an exercise to be completed and then I learn all the concepts required to complete it. Also, I love it when the difficulty is increased gradually. This provides ample time for me to dwell on a topic and understand its intricacies and the reasoning behind why particular decisions were taken"
15108,"University homework assignment, job application etc"
15114,"Feeling in the moment (shame on me..), interest about what I'm learning. I'm more interested about think that i really want to learn than thing that i have to learn to validate my university semester despise the fact that i don't really like that subject."
15115,Job
15116,Disponibilidad de horarios (en mi tiempo libre o proporcionados por mi empresa)
15120,회사 야근과 회사 내 무기력한 조직문화 로 인한 피로감과 본인을 위한 생존의식
15124,필요성
15126,"Commuting time. If i have to go someplace then time spent on that. How difficult is the topic i have to start learning. Once i start, i try to spend a lot of time in one sitting. 
Time spent mostly depends on my environment and workload and deadlines of different tasks. "
15129,"assignments, grades"
15133,"1. 편안한 장소에서 주로 학습하기 때문에 집중력 문제가 있다. 
2. 학습으로는 해결하지 못한 문제들(버전문제)을 해결하는데에 시간을 많이 사용"
15135,Tasks at work
15136,"Deadlines, payments, subscriptions"
15140,The topic 
15144,The topic I am learning
15151,El trabajo 
15153,Interest and amount of school assignments 
15154,The demand of some assignment that I would have at the time.
15155,"Tento separar um momento de aprendizado de forma constante na minha rotina. Mas às vezes, responsabilidades familiares, domésticas ou problemas de saúde podem interferir.
Ainda me sinto em ritmo lento, comparado aos meus colegas. Estou vendo conceitos novos. Mas percebo evolução em mim mesma se comparado a meses atrás."
15156,"Now more than ever, but did find the same at university, work. Trying to fit personal projects around work is difficult."
15157,The side projects I'm working on can and the mental tiredness take the time from studying
15159,What I have to learn to understand others concepts
15160,认识目标领域的知识体系与架构设计，所用时间不一
15162,Öğrendiğim konuların ardından örmek testler çözüyorum
15167,Other things to do.
15168,"Fatores como imprevistos em casa, ou necessidade de resolver alguma situação no centro da cidade, reuniões escolares, costumo estudar 3h a 4h por dia"
15169,Mainly interest and the pace of content
15171,공부하려는 내용의 난이도와 그 주에 해야 하는 업무량
15172,文档和教材的质量
15174,The duration of the tasks and complexity of concepts
15175,Time management of the week 
15176,I love hearing to lofi beats as it totally seperates me from the outside world helping me to concentrate. Like 1-2 hours
15177,There are mainly two reasons why I struggle to have a fixed study schedule: work and everyday commitments
15179,Motivation and workload
15183,Freelancing jobs may interfere my learning pace since I have to finish the job first.
15184,"Bazen günlük hayatımızda yaşadığımız şeyler sonucunda insanı boğan dönemler olabiliyor. Hiçbir şeye motivasyonumun olmadığı zamanlar beni yavaşlatıp biraz geri bırakabiliyor. Böyle zamanlar hem öğrenme hızım düşüyor, hem de harcadığım zamanda gözle görülür bir azalma ve başka şeylere yönelme (eğlence) oluyor."
15188,"Alltagsumstände, anfallende Aufgaben"
15196,My other university work
15200,The deadline of the assignments from my university courses and priorities of things in personal life with work and course work and the pre requisite gaps in the study influence how to finsh and what to learn and how fast to learn things
15202,강의나 과제의 난이도
15203,"- то, насколько мне важна данная тема в работе (конкретный инструмент, например)
- то, насколько горит дедлайн
- то, насколько мне интереса данная тема в
"
15205,How much free time I have and the interest I have
15209,이해하는데 시간이 오래걸리고 블로그에 내용을 정리하는데 시간이 오래걸립니다.
15213,Stimmungsschwankungen 
15214,To build something by myself keens me to learn new things
15216,School assignments.
15226,일
15228,"Work, life, feel "
15235,Нагрузка на основной работе 
15240,Working Schedule and unforeseen circumstances 
15243,Family and existing work commitments 
15244,Konsantrasyon ilgi daginikligi dikkat dagitimi
15245,If i have work I might not be able to spend time on studying. If the teacher is not good at teaching I might have to spend more time in or out of the classroom finding other resources to understand the content
15247,"Konunun zorluğu, yeterli pratik yapabilmem ve zevk almam"
15253,Aprender coisas novas e pretendo dedicar em torno de 10h por semana pelo menos.
15256,"mood, other responsibilities/things i have to do"
15260,"Konuyu öğrenme hızım, öğrenme yönteminin mantığımın yatması. Eğer hızlı öğrendiğim bir yöntemle öğreniyorsam daha hızlı ve daha çok zaman harcarım."
15262,Eu gostar do que estou estudando 
15263,"Universität Vorlesungen, Verpflichtungen, Freizeit"
15272,체력
15280,I have a lot of projects that i have to finish before deadline for my University
15285,Time availability 
15286,Factors that influence my learning pace are the internship projects which I need to complete before deadline also my personal projects where I might get stuck sometimes and might need to spend more time. Usually I spend 20-25 hours for internship and personal projects 
15287,Resiliência 
15292,konuya dair olan önbilgim
15293,"My personal needs , entartainment , other functions. Spending time depends upon the situation."
15294,Las necesidades o problemas que afronto en mi trabajo o en proyectos personales
15296,"Home life, motivation, interest in the subject."
15300,my work schedule and personal life
15301,个人毅力和对问题的不理解。有时很短有时很长。
15302,관심사나 목표
15303,Work life balance 
15309,Work load
15310,It depends on what I am studying for. If it is a task with a deadline or something new I am learning just for my interest.
15314,Falta de disciplina.
15315,繁重的工作
15316,"Interesse, Druck erhöhen; Stress sinkt Tempo"
15319,Complexity of the topic and its impact on my software development journey and sometimes the CATs.
15324,"학습자 본인의 체력, 주제에 대한 흥미, 주제에 대한 이해도"
15332,How busy I am
15333,It depends on how engaging and interesting the content is
15335,Persönliche Lebensumstände 
15337,"The factors is:
Internet Speed....
The environment need to be Silent
My energy... I can't learn when i feel sleepy
My mood

6-8 hours"
15340,"Trabajo, y motivacion personal y económico"
15342,"Deadline, projeye olan ilgim"
15346,Just my mental capacity to take in as much information with retention.
15350,"Die aufbereitung des aktuellen Themas, wenn es ansprechend gemacht ist bin ich oft eher bereit mehr zeit und aufwand a  den Tag zu legen"
15353,Environnement 
15354,"Assignments, deadlines, exams"
15356,Mood 
15359,"Stress for work or life in general. I like learning new things, but taking care of family and doing well at work are major factors"
15361,"Las tareas de casa, dedico menos tiempo a estudiar por mantener un espacio ordenado. Ayudar a compañeros de clase con dudas. Proyectos personales"
15365,Motivation durch eigenes Projekt
15370,저는 과제나 공모전에 참가하기 위한 프로젝트를 진행할 때 가장 많이 컴퓨터과학을 학습합니다. 과제나 공모전 기한이 가장 시간할애나 속도에 영향을 미칩니다
15372,El trabajo
15374,The factors would be whether I have a deadline approaching for an assignment or exam.
15375,Perspective d emplois intellectuellement stimulant et correctement rémunéré 
15376,时间分配
15387,"Carga laboral, motivación personal, precio del aprendizaje "
15388,"Due dates, busy schedules"
15389,Familia 
15392,其他事务冲突
15393,university and extracurriculars
15398,"Factors include - Environment, mood, workload etc. I spend about 3-4 hours a day while learning"
15399,"Exams, other obligations"
15401,"Ausführlichkeit der Unterlagen, anderweitige Verpflichtungen "
15406,"Scheduled deadlines depends on the project I'm working on 
"
15410,"Deadline, Agile learning theory "
15411,"Beruf, soziales Leben, andere Hobbies"
15415,"Current projects, interest levels and learning requirements for each project "
15417,How much i have to go to work
15421,"Mi interés en el tema 
"
15423,Дедлайн и свободное время 
15425,"흥미, 시각화"
15426,Depende la complejidad y los temas relacionados en caso de no haberlos revisado antes prefiero revisarlos y después continuar.
15429,"Doing the new project, I spend more than 20 hours."
15439,"O tempo disponível, quanto mais responsabilidade mais difícil realizar, por dia consigo estudar por 1 a 3 horas no máximo "
15440,"Depends on how interesting the topic is, how well it is taught and whether there are any interesting exercises to do alongside it"
15441,"I just enjoy learning things because i want to know how ""It's"" Works"
15443,If I'm making progress with an project I like to code but when I get stuck it will slow down my pace
15445,Disponibilidad de tiempo
15446,Mantener a mi hijo 
15451,"العمل و دراسة في آن واحد
فالعمل من أجل توفير الاحتياجات المادية للدراسة"
15456,"특정 개념을 이해하고 적립할 때, 확실하게 말해줄 수 잇느 ㄴ레퍼런스. 주변 지인들 등"
15459,"Free time
"
15460,마음의여유
15462,"Sleep, work tasks, my partner, my puppy"
15463,Upcoming deadlines 
15464,"La motivation, la difficulté et l'accès"
15470,Having to participate in other classes sometimes makes learning computer science different as it takes a lot of my time.
15477,Factors include timing which I spend 20 to 40 hours per week
15481,My own scheduling 
15485,Workload
15486,"Workload at work, life stress outside work as a expat, support to my family. I usually spend the time I have for myself studying."
15488,"The interest in the topic, school work, and if I'm tired or not."
15489,El tiempo disponible 
15498,"Availability of time, mental bandwidth and the priority of requirements to study that particular topic."
15502,Depends on time i have after my client projects and class
15503,Mes études 
15505,5hrs
15510,"Le calme ,  Le désir "
15512,ADHD and how much time I have available 
15513,"Mi familia, niños chicos que demandan tiempo"
15514,It depends on the university course work and the exams
15515,My inability to prognozę my time and procrastination make it hard to commit a lot of time regularly
15516,Internet connection 
15517,fashion
15525,"Because I take other classes for my other major (Media Studies) and my current courseload for CS is low, I usually just spend any extra time I have when not working on my essays for my other courses to CS "
15528,"Aile ortamı, sıkılmak "
15530,La sensación de mejoría y asimilar conceptos codificando 
15531,Mentor's way of teaching a topic
15532,La qualité du support de formation.
15533,mental health
15535,"good environment to focus.
ease to get solution when you meet trouble.
good colleagues."
15538,"1. Mental state of learning
2. The hunger for knowledge "
15539,"Le volume sonore chez moi, et le bon vouloir de mon pc mourant."
15540,Work and my responsibilities in life 
15545,Falta de tiempo.
15546,"Çevresel dikkat dağıtabilecek öğeler, inşaat gürültüleri veya sohbet ortamları "
15547,"Money, school, work, sleep, quality of free time, mental health"
15549,Otros compromisos
15550,Berufliche Freizeit und private Aktivitäten 
15552,How w Mich I am interested 
15555,How much time I devote away from my other responsibilities 
15556,퇴근 후 남는 여유 시간
15559,How busy I am and energy levels
15560,Work and school schedules
15563,Doğru bir eğitmenden eğitim almak en büyük etkileyen faktördür. Çünkü yanlış veya yeni teknolojiye ayak uyduramamış bir eğitmenden alınan eğitim zaman zayiatına sebep oluyor.
15564,It depends a lot on how much work I have to do
15565,학교 및 연구 일정
15567,Dependen del momento
15569,"Mi motivación, el diseño de un curso, la aplicabilidad de los temas que estudio"
15570,"In general, my psychological health, housing conditions and money affect my learning time because Turkey is going through a very difficult period economically. I cannot live in my own house right now, so my working system can be affected by everything."
15571,Other things going on in my life
15575,La disponibilidad de las herramientas en el entorno y el tiempo que puedo realizar el aprendizaje derivado de las jornadas de trabajo
15577,"Family health, assignments and deadlines of hackathons are factors that influence my study time and pattern it's never the same some weeks I spend plenty of time others I don't even open my laptop "
15579,Course content 
15585,"Temps diponible / support de cours : design, accessibilité, difficulté / rythme du cours "
15586,Hshshs
15587,Help availability when I stuck with something 
15588,대학 스케쥴
15591,Amount of university tasks (home work ) and my social life. If i have i walk with friend i will post pone new information lerning on next day
15592,"학업 혹은 일, 이르바이트와의 병행 문제"
15594,Las ocupaciones familiares 
15598,quality of education that iam receving and also from where iam receiving the education
15599,"The set deadline , external factors or interruptions . Probably I take out 15-20 hours per week to learning"
15601,Allgemeines Empfinden und Stresslevel auf Arbeit
15603,Interest in the topic and importance for work/university.
15609,uykum ve galatasaray mac saatleri
15610,"How much free time I have, as this time is not usually paid by my employer."
15619,Сложность поставленных задач на фуллтайм работе 
15621,"Work, life, etc."
15622,"Deadlines, interest "
15625,학교 시험 또는 외부 테스트
15626,"yaptığım işten aldığım keyif, beraber çalışmak durumunda olduğum insanlar"
15627,时间
15629,La passion sûrement 
15635,İşim
15639,La motivación.
15646,Focus and amount of chores to be done 
15648,Motivation auf Themen. Deadlines von Projekten oder Prüfungen 
15649,First of all to learn about a subject I must be interested in the said subject so I guess thats what pushes me to start learning about something and how fast I do it
15650,Deadlines
15651,"Motivation, Verarbredungen mit Freunden"
15652,Environment and time 
15654,"The disillusionment in the tech market and ultra competitive atmosphere makes me believe this is a waste of time and it's easier to find work doing just about anything else. I'd rather take my skills elsewhere, even if I make less, because I don't see the culture changing anytime soon. That's why I've taken a break from learning, plus it's really not good for my mental health. Fuck tech "
15657,Saúde mental 
15663,"Meu ritmo de aprendizado depende do quanto me familiarizei com o tema para avançar e envolve a questão familiar, ter tranquilidade para estudar. Uso 3 horas aproximadamente ou 5 horas."
15665,"For new topics, I mainly discover them through YouTube and social media, so it mainly is how quickly you can grab my attention.

If I choose to learn a topic, it depends on how engaging the material is. Such as YouTube videos and reading materials, it needs to be involving and active.

If I read documentation, it usually means that I'm looking for a specific thing or I'm deep diving into the topic.

Also, it depends on my current motivation, which can also be influenced by the initial exposure to a topic. "
15666,Time commitment elsewhere. I will prioritize my university coursework and direct social life over personal projects and learning.
15669,When I study I like to be fun and exciting. I found that I feel like a child when I'm learning something that I really enjoy. About the time it could be 1 hour or maybe 2 during the week days and when it comes the weekend I don't set a timer.
15670,"— Рабочий день и психологический настрой. Я работаю фултайм и моя основная работа никак не связана с программированием и компьютерными науками. Оплата моего труда напрямую связана со временем, потраченным на работу, поэтому я не могу пожертвовать работой в пользу обучения — приходится забирать время от отдыха или сна.  Иногда способность к концентрации ослабевает, и учебу в день приходится пропустить.

— Дедлайны. Для меня сильным мотиватором стала оплата годичных курсов авансом и угроза отчисления за невыполненные задачи. Если я правильно понимаю условия договора, деньги бы вернулись, но я рассудил так: через год у меня все равно не будет этих денег, зато возможно я смогу работать на новой специальности. Этого не произошло, но я понимаю что прошел большой путь по изучению CS. 

— Ответственность перед группой. Во время дипломной работы в Яндекс Практикуме наш поток разделился на группы по 4 человека. Когда я знал, что мне нужно выполнить свою часть работы, иначе работа всей группы встанет, я чаще уделял внимание написанию кода и ревью чужого кода, чтобы группа могла заложить время на тестирование и дополнительные проверки."
15673,I think getting my personal projects done and trying to stay motivated seeing other people's passion projects too. On top of that just staying focused on the end goal 
15681,Long Covid Symptome mit Konzentrationsschwierigkeiten und verfügbare Zeit 
15682,Fatores como organização de tópicos de interesse e relevância para o desenvolvimento profissional. Gasto em torno de 15hrs por semana 
15683,Free time
15684,A disponibilidade de informações
15685,The university takes a lot of my time
15687,"O meu tempo disponível, pois ainda não trabalho e só vou pra faculdade a partir das 18h e volto as 23h"
15688,I would rather go learn assembly than socializing with selfish ppl
15689,My work schedule sets the pace for my studies 
15694,"university assignments, personal things and other things"
15696,"Consistency is the most important factor, i need to stay consistent otherwise I'll slow down or stop. Another factor is environment, which affects my learning pace as I need to concentrate while learning."
15697,흥미
15700,Aufgabendichte in der Arbeit 
15701,Deberes y practicas. Trabajo.
15702,"Stress, die Menge von Hausübungen, die Schwierigkeit von Themen"
15705,"Time, energy, and motivation"
15706,Exam dates
15712,How stressful my week is. There are many stressors that exhaust me or fill my head with concerns and requirements. These define when i am ready to learn
15715,Noise 
15716,Hobbies and responsibilities
15718,La cantidad de trabajo que tenga.
15719,smootheness of the course and ease of transition  between  topics
15722,Delays due to me not understanding a concept or if I can't find the time
15725,"General motivation, complexity of content, personal opinion about content"
15728,Um sono bom e uma alimentação saudável são essenciais para meu rendimento.
15731,"The amount of work I have, and the deadlines I need to meet at work."
15732,I guess the main factors are the accessibility of very good learning resources and it can take me even months if it's hard to find detailed deep knowledge resources
15733,Mood
15734,"I am really bad with procrastination, often pushing things until I have a deadline."
15736,"O tema é um fator que influência muito, e o ambiente de estudo "
15737,Enerjim
15738,La pression
